Date,Open,High,Low,Close,Adj Close,Volume
2011-06-27,165.740005,168.240005,165.210007,167.619995,140.590988,4446700
2011-06-28,168.330002,170.699997,168.009995,170.009995,142.595612,4850000
2011-06-29,170.610001,170.860001,169.820007,170.539993,143.040115,3817100
2011-06-30,171.110001,172.449997,170.750000,171.550003,143.887329,5105200
2011-07-01,171.610001,174.649994,171.490005,174.539993,146.395126,5181700
2011-07-05,173.520004,175.429993,173.520004,175.429993,147.141647,4586500
2011-07-06,175.190002,177.770004,175.089996,177.710007,149.053970,5885900
2011-07-07,176.779999,177.270004,176.119995,176.479996,148.022293,5905600
2011-07-08,175.490005,176.490005,175.009995,176.490005,148.030701,4399900
2011-07-11,174.899994,176.149994,174.610001,174.990005,146.772614,4766500
2011-07-12,174.929993,175.369995,173.889999,174.050003,145.984161,5036800
2011-07-13,174.899994,176.320007,174.000000,174.320007,146.210632,4074800
2011-07-14,174.399994,176.100006,173.839996,174.229996,146.135117,4613100
2011-07-15,175.080002,175.940002,174.070007,175.539993,147.233887,5347100
2011-07-18,174.729996,176.460007,173.580002,175.279999,147.015808,8879700
2011-07-19,178.740005,185.210007,178.649994,185.210007,155.344559,13245600
2011-07-20,183.839996,184.419998,183.000000,183.649994,154.036163,5901100
2011-07-21,183.589996,185.500000,182.899994,184.899994,155.084595,4958400
2011-07-22,184.639999,185.630005,184.259995,185.179993,155.319412,4516100
2011-07-25,183.889999,184.960007,183.279999,183.699997,154.078079,4987000
2011-07-26,182.940002,184.050003,182.649994,182.929993,153.432220,4356200
2011-07-27,182.009995,182.910004,180.929993,181.350006,152.107010,5806800
2011-07-28,181.059998,183.270004,180.880005,181.800003,152.484482,4478800
2011-07-29,180.259995,183.429993,179.729996,181.850006,152.526413,6665600
2011-08-01,182.600006,183.690002,178.500000,180.750000,151.603790,5842700
2011-08-02,179.949997,182.289993,177.860001,178.050003,149.339111,5770400
2011-08-03,177.669998,179.229996,175.410004,178.830002,149.993393,6722000
2011-08-04,176.500000,177.919998,171.179993,171.479996,143.828613,11022300
2011-08-05,172.100006,174.220001,166.520004,172.979996,145.086731,11871800
2011-08-08,168.830002,172.610001,166.000000,166.220001,140.023895,15804900
2011-08-09,167.460007,171.050003,162.000000,170.610001,143.722031,12517600
2011-08-10,168.179993,169.229996,161.850006,162.539993,136.923828,13993600
2011-08-11,164.100006,168.770004,162.940002,166.729996,140.453522,9175600
2011-08-12,168.500000,169.380005,165.830002,168.199997,141.691818,5187000
2011-08-15,171.320007,174.000000,170.389999,172.990005,145.726868,7645400
2011-08-16,172.190002,172.190002,169.000000,171.240005,144.252701,5585400
2011-08-17,171.570007,172.990005,169.889999,171.479996,144.454865,5129700
2011-08-18,166.320007,166.460007,160.160004,163.830002,138.010529,15082600
2011-08-19,162.169998,163.940002,157.130005,157.539993,132.711807,14068600
2011-08-22,161.350006,161.679993,157.619995,158.979996,133.924866,7249100
2011-08-23,160.649994,164.589996,159.529999,164.320007,138.423294,6923300
2011-08-24,164.130005,166.830002,163.350006,166.759995,140.478760,6427000
2011-08-25,167.520004,168.529999,164.850006,165.580002,139.484741,6751600
2011-08-26,164.850006,169.330002,163.279999,169.139999,142.483688,6438200
2011-08-29,170.580002,172.720001,170.360001,172.619995,145.415222,5293400
2011-08-30,172.059998,173.509995,170.880005,172.509995,145.322510,4477700
2011-08-31,173.289993,173.720001,170.710007,171.910004,144.817139,6074200
2011-09-01,172.710007,173.679993,170.119995,170.330002,143.486130,5463900
2011-09-02,167.690002,168.929993,166.000000,166.979996,140.664063,4979100
2011-09-06,163.059998,165.550003,162.199997,165.110001,139.088806,5761200
2011-09-07,167.279999,167.899994,166.160004,167.309998,140.942093,6796600
2011-09-08,167.000000,169.580002,165.100006,165.250000,139.206726,6027200
2011-09-09,164.570007,165.190002,160.809998,161.369995,135.938187,6743900
